tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AutoPay,monthly_to_total,tenure_to_total
72,1,2,3,107.5,7853.7,0,1,0.013687815933891033,0.00916765346269911
47,1,0,1,100.5,4707.1,0,0,0.021350725499776933,0.009984916402880753
60,1,0,2,89.9,5450.7,0,1,0.016493294439246336,0.011007760471132149
72,0,2,2,42.1,2962.0,0,1,0.014213369345037138,0.024307900067521943
18,1,1,3,54.4,957.1,0,1,0.05683836589698046,0.018806812245324416
9,1,0,1,94.4,857.25,1,0,0.11011956838728493,0.010498687664041995
3,1,0,1,75.3,244.1,0,0,0.308480131093814,0.012290045063498567
47,1,1,1,78.9,3650.35,0,0,0.02161436574575041,0.012875477693919762
31,1,2,0,79.2,2497.2,0,0,0.03171552138395003,0.012413903572000642
50,1,2,2,20.15,930.9,0,1,0.021645719196476527,0.05371146202599635
10,1,0,0,79.85,887.35,0,0,0.08998704006310924,0.011269510339775737
1,1,0,0,49.05,49.05,0,0,1.0,0.020387359836901122
52,1,1,1,20.4,1090.65,0,0,0.018704442305047447,0.04767799018933663
64,1,2,2,111.6,7099.0,0,1,0.01572052401746725,0.009015354275250036
62,1,2,2,24.25,1424.6,0,1,0.017022322055313774,0.04352098834760635
3,1,0,2,64.5,177.4,0,1,0.36358511837655016,0.016910935738444193
56,1,1,1,110.5,6139.5,0,0,0.017998208323153353,0.009121263946575454
46,1,1,3,55.65,2688.85,0,1,0.02069658032244268,0.017107685441731597
8,1,0,0,54.65,482.25,0,0,0.1133229652669777,0.01658890616899948
30,1,0,1,74.75,2111.3,0,0,0.03540472694548382,0.01420925496139819
45,1,1,3,25.9,1216.6,0,1,0.021288837744533946,0.03698832812756864
1,1,0,1,79.35,79.35,1,0,1.0,0.012602394454946441
11,0,0,1,50.55,565.35,0,0,0.08941363756964711,0.01945697355620412
7,1,0,2,75.15,496.9,1,1,0.1512376735761723,0.01408734151740793
42,1,0,2,103.8,4327.5,0,1,0.023986135181975735,0.009705372616984401
49,1,2,2,20.15,973.35,0,1,0.020701700313350797,0.05034160373966199
9,1,0,3,99.3,918.75,0,1,0.10808163265306123,0.009795918367346938
35,1,1,2,62.15,2215.45,0,1,0.02805299149157056,0.015798144846419466
48,1,2,2,20.65,1057.0,0,1,0.0195364238410596,0.04541154210028382
46,1,2,0,19.95,927.1,0,0,0.02151871427030525,0.049617085535540936
29,0,0,0,33.75,1009.25,0,0,0.03344067376764925,0.028734208570720832
30,1,0,2,82.05,2570.2,0,1,0.03192358571317407,0.011672243405182477
1,1,0,1,74.7,74.7,0,0,1.0,0.013386880856760375
66,1,2,0,84.0,5714.25,0,0,0.014700091875574223,0.011550072187951175
65,1,0,3,111.05,7107.0,0,1,0.0156254397073308,0.009145912480652878
72,1,2,2,100.9,7459.05,0,1,0.013527191800564416,0.009652703762543487
12,1,0,1,78.95,927.35,1,0,0.08513506227422225,0.012940098129077478
71,1,1,3,66.85,4748.7,0,1,0.014077537010129088,0.014951460399688336
5,1,0,0,21.05,113.85,1,0,0.18489240228370665,0.04391743522178305
52,1,2,2,21.0,1107.2,0,1,0.018966763005780346,0.04696531791907514
25,1,0,1,98.5,2514.5,1,0,0.03917279777291708,0.00994233446013124
1,1,0,0,20.2,20.2,0,0,1.0,0.04950495049504951
1,1,0,1,19.45,19.45,0,0,1.0,0.05141388174807198
38,1,1,2,95.0,3605.6,0,1,0.02634790326159308,0.01053916130463723
66,0,1,2,45.55,3027.25,0,1,0.015046659509455777,0.021801965480221324
68,1,2,2,110.0,7611.85,1,1,0.014451151822487305,0.008933439308446698
5,0,0,0,24.3,100.2,0,0,0.24251497005988024,0.0499001996007984
72,1,1,1,104.15,7303.05,0,0,0.014261164855779435,0.009858894571446177
32,0,1,0,30.15,927.65,0,0,0.03250148224006899,0.034495768878348515
43,1,1,0,94.35,3921.3,0,0,0.024060898171524746,0.010965751153954045
72,1,2,3,19.4,1363.25,0,1,0.014230698697964422,0.052814964239867965
55,1,0,1,96.75,5238.9,1,0,0.018467617247895553,0.010498387065987136
52,1,1,3,57.95,3042.25,0,1,0.019048401676390832,0.01709261237570877
43,1,0,1,91.65,3954.1,0,0,0.023178472977415848,0.010874788194532258
37,1,0,1,76.5,2868.15,1,0,0.026672245175461535,0.012900301588131722
64,0,2,1,54.6,3423.5,0,0,0.015948590623630788,0.01869431867971374
3,1,0,1,89.85,248.4,0,0,0.3617149758454106,0.012077294685990338
36,0,2,2,31.05,1126.35,0,1,0.027566919696364364,0.03196164602477028
10,1,0,1,100.25,1064.65,1,0,0.09416240078899168,0.009392758183440566
41,1,2,0,20.65,835.15,0,0,0.024726097108303896,0.049092977309465366
27,1,0,3,85.2,2151.6,0,1,0.03959843837144451,0.012548800892359175
56,1,1,3,99.8,5515.45,0,1,0.018094625098586697,0.010153296648505563
6,1,0,0,20.7,112.75,0,0,0.1835920177383592,0.05321507760532151
3,1,0,1,74.4,229.55,1,0,0.3241123938139839,0.01306904813766064
7,1,0,0,50.7,350.35,0,0,0.14471243042671614,0.01998001998001998
4,1,0,0,20.85,62.9,0,0,0.33147853736089034,0.06359300476947535
33,1,2,1,88.95,3027.65,0,0,0.02937922150843063,0.01089954254950209
27,1,0,1,78.05,2135.5,1,0,0.03654881760711777,0.01264340903769609
72,1,2,2,23.55,1723.95,0,1,0.01366048899330027,0.041764552336204644
1,1,0,0,19.75,19.75,0,0,1.0,0.05063291139240506
71,0,1,1,56.45,3985.35,0,0,0.014164377030875582,0.01781524834707115
13,1,0,1,85.95,1215.65,0,0,0.0707029161354008,0.010693867478303786
25,0,0,3,58.6,1502.65,1,1,0.038997770605264034,0.016637274149003425
67,1,2,2,50.55,3260.1,0,1,0.015505659335603201,0.02055151682463728
1,0,0,1,35.45,35.45,1,0,1.0,0.028208744710860365
2,1,0,1,44.35,81.25,1,0,0.5458461538461539,0.024615384615384615
43,1,2,3,25.7,1188.2,0,1,0.02162935532738596,0.036189193738427876
23,1,0,2,75.0,1778.5,0,1,0.04217036828788305,0.012932246274950801
64,1,2,0,20.2,1277.75,0,0,0.01580903932694189,0.050088045392291135
57,1,2,0,19.6,1170.55,0,0,0.01674426551621033,0.048695057878774935
1,1,0,0,70.45,70.45,1,0,1.0,0.014194464158977998
72,1,2,3,88.05,6425.65,0,1,0.013702893870659,0.011205092091850631
8,1,0,1,71.15,563.65,1,0,0.12623081699636302,0.014193205003104763
61,1,2,2,101.05,5971.25,0,1,0.01692275486707138,0.010215616495708603
64,1,1,3,84.3,5289.05,0,1,0.015938590105973663,0.012100471729327572
71,1,2,2,23.95,1756.2,0,1,0.013637398929506888,0.040428197244049655
65,1,2,3,99.05,6416.7,0,1,0.015436283447878193,0.01012981750744152
3,1,1,0,19.6,61.35,0,0,0.319478402607987,0.04889975550122249
1,1,0,1,45.65,45.65,1,0,1.0,0.02190580503833516
30,1,1,3,64.5,1929.95,0,1,0.03342055493665639,0.015544444156584366
15,1,0,0,69.5,1071.4,0,0,0.06486839649057308,0.014000373343289154
8,1,0,1,68.55,564.35,0,0,0.12146717462567555,0.014175600248073003
7,1,0,0,95.0,655.5,1,0,0.14492753623188406,0.010678871090770405
70,1,1,3,108.15,7930.55,0,1,0.013637137399045464,0.008826626148249491
62,1,2,1,86.1,5215.25,0,0,0.016509275681894444,0.011888212453861272
6,1,0,0,19.7,113.5,0,0,0.173568281938326,0.05286343612334802
14,1,0,2,80.9,1152.8,0,1,0.07017696044413603,0.012144344205412909
22,1,0,2,84.15,1821.95,0,1,0.046186777902796454,0.012074974615110184
22,1,1,0,20.15,419.9,0,0,0.047987616099071206,0.052393427006430106
16,1,2,0,64.25,1024.0,0,0,0.062744140625,0.015625
10,1,2,2,25.7,251.6,0,1,0.10214626391096979,0.0397456279809221
13,1,0,1,56.0,764.55,0,0,0.07324570008501734,0.017003466091164737
20,1,0,1,82.4,1592.35,1,0,0.05174741733915283,0.01256005275222156
2,1,0,1,69.7,135.2,0,0,0.5155325443786983,0.014792899408284025
53,1,2,2,73.9,3958.25,0,1,0.01866986673403651,0.013389755573801553
11,1,1,0,20.6,233.9,0,0,0.08807182556648141,0.0470286447199658
69,1,2,0,19.9,1363.45,0,0,0.014595328028163847,0.05060691627855807
4,1,0,2,70.9,273.0,1,1,0.25970695970695973,0.014652014652014652
72,1,2,2,89.05,6254.45,0,1,0.01423786264179904,0.011511803595839762
58,0,0,1,45.3,2651.2,1,0,0.017086602293301147,0.02187688593844297
16,1,0,1,20.4,321.4,0,0,0.06347230864965775,0.04978220286247667
43,1,1,2,84.25,3539.25,0,1,0.023804478349932896,0.01214946669492124
2,1,0,1,104.4,242.8,1,0,0.4299835255354201,0.008237232289950576
14,1,2,0,81.95,1181.75,0,0,0.06934630844087158,0.01184683731753755
53,1,1,2,94.85,5000.2,1,1,0.018969241230350785,0.010599576016959322
32,1,1,2,20.55,654.55,0,1,0.03139561530822703,0.04888854938507372
34,1,0,1,24.7,780.2,0,0,0.03165854908997692,0.04357856959753909
15,1,0,0,74.45,1145.7,1,0,0.06498210700881557,0.013092432573972244
7,1,0,2,76.45,503.6,1,1,0.15180698967434472,0.013899920571882446
15,1,0,2,105.35,1559.25,0,1,0.06756453423120089,0.00962000962000962
61,1,1,3,20.55,1252.0,0,1,0.01641373801916933,0.048722044728434506
1,0,0,2,29.95,29.95,1,1,1.0,0.0333889816360601
1,1,0,0,45.3,45.3,0,0,1.0,0.02207505518763797
8,1,0,2,84.5,662.65,1,1,0.12751829774390705,0.012072738247943863
33,1,1,3,74.75,2453.3,0,1,0.03046916398320629,0.013451269718338564
13,1,0,1,79.25,1111.65,1,0,0.07129042414429002,0.011694328250798362
1,0,0,1,24.8,24.8,1,0,1.0,0.04032258064516129
20,1,0,0,51.8,1023.85,0,0,0.05059334863505396,0.019534111442105775
3,0,0,1,30.4,82.15,0,0,0.3700547778454047,0.03651856360316494
13,1,1,1,19.65,244.8,0,0,0.08026960784313725,0.05310457516339869
40,1,0,3,56.6,2379.1,0,1,0.023790509016014462,0.016813080576688663
43,1,1,3,71.9,3173.35,0,1,0.022657444026029278,0.013550349000267857
6,1,0,1,91.0,531.0,1,0,0.1713747645951036,0.011299435028248588
69,1,2,2,19.75,1375.4,0,1,0.014359459066453395,0.05016722408026755
72,1,2,3,109.7,8129.3,0,1,0.013494396811533589,0.00885685114339488
59,1,2,3,19.3,1192.7,0,1,0.016181772449065147,0.04946759453341158
20,1,0,1,96.55,1901.65,0,0,0.0507716982620356,0.010517182446822496
24,1,2,2,24.1,587.4,0,1,0.04102826012938373,0.04085801838610827
59,1,0,1,111.35,6519.75,0,0,0.017078875723762415,0.009049426741822922
72,1,2,2,112.25,8041.65,0,1,0.013958578152493581,0.008953386431888978
1,1,0,0,20.75,20.75,0,0,1.0,0.04819277108433735
27,1,1,3,101.9,2681.15,0,1,0.0380060794808198,0.010070305652425265
14,1,0,3,80.05,1112.3,0,1,0.07196799424615662,0.012586532410320957
71,1,2,1,105.55,7405.5,0,0,0.014252920126932685,0.009587468773209101
13,1,0,3,78.3,1033.95,0,1,0.07572900043522414,0.012573141834711542
44,1,0,3,68.85,2958.95,0,1,0.023268389124520523,0.014870139745517836
33,1,1,2,79.95,2684.85,0,1,0.029778199899435726,0.01229118945192469
72,0,2,3,55.45,4179.2,0,1,0.013268089586523738,0.017228177641653904
1,1,0,1,79.9,79.9,1,0,1.0,0.012515644555694618
19,1,0,1,106.6,1934.45,1,0,0.05510610250975729,0.009821913205303833
64,1,1,3,102.45,6654.1,0,1,0.015396522444808464,0.009618130175380591
2,1,0,3,46.0,84.5,1,1,0.5443786982248521,0.023668639053254437
1,0,0,1,25.25,25.25,0,0,1.0,0.039603960396039604
61,1,2,0,19.75,1124.2,0,0,0.017568048389966198,0.05426080768546522
29,1,1,1,20.0,540.05,0,0,0.03703360799925933,0.05369873159892603
23,1,0,1,86.8,1975.85,0,0,0.04393046030822178,0.011640559759091024
57,0,0,2,58.75,3437.45,0,1,0.017091157689566396,0.0165820593754091
72,0,2,3,45.25,3139.8,0,1,0.01441174597108096,0.022931396904261415
66,0,2,2,56.6,3789.2,0,1,0.014937189908160035,0.017417924627889794
65,1,2,2,84.2,5324.5,0,1,0.015813691426425018,0.01220771903465114
8,1,0,2,80.0,624.6,0,1,0.1280819724623759,0.012808197246237591
4,1,0,1,70.15,268.35,1,0,0.26141233463760016,0.014905906465436929
71,1,2,2,24.75,1836.9,0,1,0.013473787359137677,0.03865207686863738
1,1,1,1,20.2,20.2,0,0,1.0,0.04950495049504951
4,1,0,0,50.05,179.35,1,0,0.27906328408140507,0.02230275996654586
12,1,1,2,19.35,219.35,0,1,0.08821518121723274,0.054707089126966035
24,0,1,0,50.6,1288.75,0,0,0.03926285160038798,0.01862269641125121
31,1,1,0,81.15,2545.75,0,0,0.03187665717372091,0.012177158008445448
1,1,0,0,55.2,55.2,1,0,1.0,0.018115942028985508
30,1,0,3,89.9,2723.15,0,1,0.033013238345298644,0.011016653507886087
47,1,2,3,85.3,4107.25,0,1,0.02076815387424676,0.011443179743137136
54,1,2,3,108.0,5760.65,0,1,0.018747884353328186,0.009373942176664093
50,1,0,3,93.5,4747.5,0,1,0.01969457609268036,0.010531858873091101
1,1,0,0,84.6,84.6,1,0,1.0,0.011820330969267141
72,1,2,3,20.25,1566.9,0,1,0.01292360712234348,0.04595060310166571
29,1,0,1,25.15,702.0,0,0,0.035826210826210826,0.04131054131054131
2,1,0,0,54.4,114.1,1,0,0.476774758983348,0.017528483786152498
10,0,2,0,29.6,299.05,0,0,0.09898010366159506,0.03343922420999833
18,1,0,1,73.15,1305.95,0,0,0.05601286419847621,0.013783069795933994
11,1,0,1,95.0,1120.3,1,0,0.08479871463000982,0.0098187985361064
16,1,2,0,19.75,284.35,0,0,0.0694566555301565,0.05626868296113944
72,1,2,2,86.6,6350.5,0,1,0.013636721517990709,0.011337689945673569
72,1,2,2,109.2,7878.3,0,1,0.013860858306995164,0.009139027455161647
41,1,1,3,74.7,3187.65,0,1,0.023434191332172605,0.012862139820871175
65,1,0,1,94.4,6126.15,0,0,0.015409351713555824,0.010610252768867887
13,1,0,1,54.8,731.3,0,0,0.07493504717626145,0.017776562286339396
4,1,0,1,75.35,273.4,0,0,0.27560351133869787,0.01463057790782736
41,1,1,0,65.0,2531.8,0,0,0.025673433920530845,0.01619401216525792
15,1,0,1,74.4,1074.3,1,0,0.06925439821278973,0.013962580284836639
1,1,0,0,48.55,48.55,1,0,1.0,0.02059732234809475
42,1,1,1,99.0,4298.45,0,0,0.02303155788714537,0.009770963952122277
51,1,1,1,93.5,4619.55,0,0,0.020240066673160806,0.01104003636717862
2,1,0,1,70.4,147.15,1,0,0.4784233775059463,0.013591573224600747
1,0,0,1,40.2,40.2,1,0,1.0,0.02487562189054726
32,1,1,3,83.7,2633.3,0,1,0.03178521247104393,0.01215205255762731
10,1,0,0,19.85,193.05,0,0,0.10282310282310282,0.051800051800051795
67,0,2,1,59.55,4103.9,0,0,0.014510587489948585,0.016325933867784304
61,1,2,3,115.1,7008.15,0,1,0.016423735222562304,0.008704151594928763
50,1,1,3,114.35,5791.1,0,1,0.019745816856901105,0.00863393828460914
2,1,0,3,44.6,80.55,1,1,0.553693358162632,0.024829298572315334
29,0,0,1,45.0,1228.65,0,0,0.036625564644121596,0.023603141659545027
3,0,0,1,41.15,132.2,1,0,0.3112708018154312,0.022692889561270805
13,1,0,1,106.9,1364.3,1,0,0.07835520046910505,0.009528696034596497
57,1,0,1,89.85,4925.35,0,0,0.018242358411077384,0.011572781629731896
31,0,2,2,49.85,1520.1,0,1,0.03279389513847773,0.020393395171370305
45,1,1,0,113.3,5032.25,0,0,0.02251477967112127,0.00894232202295196
61,1,2,0,88.1,5526.75,0,0,0.015940652282082596,0.011037228027321664
50,1,2,2,24.9,1195.25,0,1,0.02083246182806944,0.04183225266680611
19,1,0,0,105.0,2007.25,0,0,0.05231037489102005,0.009465686885041723
59,1,2,0,19.35,1099.6,1,0,0.017597308112040744,0.053655874863586764
71,1,2,3,24.25,1732.95,0,1,0.01399347932715889,0.040970599267145615
16,1,0,1,94.45,1511.2,1,0,0.0625,0.010587612493382742
57,1,2,1,59.75,3450.15,0,0,0.017318087619378867,0.016521020825181514
1,0,0,2,24.8,24.8,1,1,1.0,0.04032258064516129
20,1,0,1,107.05,2172.05,0,0,0.049285237448493356,0.009207891162726457
1,1,0,0,70.6,70.6,1,0,1.0,0.0141643059490085
5,1,0,1,85.4,401.1,1,0,0.21291448516579406,0.012465719272001994
52,1,0,1,105.05,5624.85,1,0,0.01867605358365112,0.009244690969536964
21,1,0,2,64.95,1339.8,0,1,0.04847738468428124,0.015673981191222573
14,0,0,1,55.0,771.95,0,0,0.07124813783276118,0.018135889630157394
5,1,0,2,50.55,244.75,0,1,0.2065372829417773,0.020429009193054137
6,1,0,0,55.15,322.9,0,0,0.1707959120470734,0.01858160421183029
10,1,0,1,51.2,498.25,0,0,0.10275965880582037,0.02007024586051179
1,1,0,0,25.4,25.4,0,0,1.0,0.03937007874015748
68,1,0,0,54.45,3687.75,0,0,0.014765100671140941,0.01843942783540099
18,1,0,0,95.15,1779.95,1,0,0.053456557768476645,0.010112643613584651
22,1,1,3,76.0,1783.6,0,1,0.042610450773716085,0.012334604171338866
20,1,0,1,44.35,927.15,0,0,0.04783476244404897,0.021571482500134822
1,1,0,1,70.0,70.0,1,0,1.0,0.014285714285714285
8,1,0,1,74.5,606.55,1,0,0.1228258181518424,0.01318934960019784
10,1,0,3,44.85,435.4,1,1,0.10300872760679836,0.02296738631143776
24,1,0,1,76.1,1712.7,1,0,0.04443276697611957,0.014012961989840603
35,1,1,0,61.2,2021.2,0,0,0.030279042153176332,0.017316445675836137
23,1,1,0,86.8,1940.8,0,0,0.04472382522671063,0.01185078318219291
6,1,0,1,89.35,567.8,0,0,0.1573617470940472,0.01056710109193378
12,1,0,0,19.7,220.35,0,0,0.08940322214658497,0.05445881552076243
1,1,0,0,20.25,20.25,0,0,1.0,0.04938271604938271
71,1,2,1,76.05,5436.45,0,0,0.013988908202963331,0.013059993194088054
35,1,0,1,100.8,3437.5,0,0,0.029323636363636364,0.010181818181818183
40,1,0,1,74.55,3015.75,0,0,0.02472021885103208,0.013263698914034651
1,1,0,0,73.6,73.6,1,0,1.0,0.013586956521739132
23,1,1,2,64.9,1509.8,0,1,0.04298582593721023,0.015233805802092992
4,1,0,1,95.45,396.1,1,0,0.24097450138853824,0.01009845998485231
4,1,0,1,90.4,356.65,0,0,0.2534697883078649,0.011215477358755083
68,0,2,3,60.3,4109.0,0,1,0.014675103431491846,0.016549038695546362
38,1,0,0,81.85,3141.7,0,0,0.026052773975872936,0.012095362383422988
52,1,2,0,24.8,1229.1,0,0,0.020177365552029942,0.04230737938328859
32,1,0,1,74.9,2303.35,1,0,0.03251785442941803,0.01389280830095296
29,1,2,0,75.55,2054.4,0,0,0.036774727414330216,0.014116043613707165
38,1,0,1,101.15,3741.85,0,0,0.027032083060518197,0.01015540441225597
48,1,1,3,78.75,3682.45,0,1,0.021385219079688794,0.01303480020095317
1,1,0,2,19.25,19.25,0,1,1.0,0.05194805194805195
22,1,0,1,89.05,1886.25,0,0,0.047210072895957585,0.011663353214049038
43,1,2,3,115.05,4895.1,0,1,0.023503094931666357,0.008784294498580212
5,1,0,1,69.35,341.6,0,0,0.20301522248243556,0.014637002341920374
5,1,0,1,80.6,415.55,1,0,0.19395981229695583,0.01203224642040669
51,1,1,3,110.05,5686.4,0,1,0.019353193584693305,0.008968767585818797
71,1,2,3,19.9,1355.1,0,1,0.014685263080215482,0.05239465722086931
38,1,1,3,80.3,3058.65,1,1,0.02625341245320648,0.012423781733771434
24,1,0,1,93.15,2231.05,1,0,0.041751641603729184,0.01075726675780462
35,1,0,3,91.5,3236.35,0,1,0.028272591036198187,0.010814652308928268
54,1,1,2,82.45,4350.1,1,1,0.018953587273855772,0.012413507735454356
72,0,2,1,60.0,4264.0,0,0,0.014071294559099437,0.016885553470919325
1,1,0,1,44.8,44.8,0,0,1.0,0.022321428571428572
9,1,1,0,48.6,422.3,0,0,0.11508406346199385,0.021311863604072934
69,0,2,2,60.05,4176.7,0,1,0.014377379270716115,0.016520219311896952
52,1,0,3,102.7,5138.1,0,1,0.01998793328273097,0.010120472548218212
11,1,0,1,82.9,880.05,0,0,0.09419919322765753,0.012499289813078802
2,1,0,1,70.35,139.05,1,0,0.5059331175836029,0.014383315354189139
28,0,0,1,35.9,973.65,0,0,0.03687156575771581,0.028757767164792277
17,1,0,3,82.65,1470.05,0,1,0.05622257746335159,0.01156423250909833
35,1,2,0,19.85,739.35,0,0,0.02684790694528978,0.047338878744843445
8,1,1,0,19.2,161.95,0,0,0.11855510960172894,0.049397962334053726
46,1,1,3,94.9,4422.95,0,1,0.02145626787551295,0.010400298443346636
7,1,0,1,73.85,511.25,1,0,0.14444987775061124,0.013691931540342298
2,1,0,0,80.6,155.8,1,0,0.5173299101412066,0.012836970474967907
68,1,1,2,75.8,5293.95,1,1,0.014318231188432078,0.012844851198065717
43,1,2,1,104.6,4759.85,1,0,0.021975482420664515,0.009033898127041818
68,1,2,1,88.15,6148.45,0,0,0.01433694671014646,0.011059697972659776
36,1,0,3,94.8,3565.65,0,1,0.026587017794791973,0.01009633587143999
63,1,0,1,103.4,6603.0,1,0,0.0156595486899894,0.009541117673784643
32,1,0,2,54.65,1830.1,0,1,0.02986175618818644,0.017485383312387304
71,1,2,3,85.75,6223.8,0,1,0.013777756354638645,0.011407821588097304
66,1,0,2,67.45,4508.65,0,1,0.014960132190345227,0.014638528162532022
63,1,1,0,20.5,1328.15,0,0,0.015435003576403266,0.047434401234800284
41,1,1,3,20.25,865.0,0,1,0.023410404624277455,0.047398843930635835
1,1,0,1,72.1,72.1,0,0,1.0,0.013869625520110958
2,1,0,1,90.4,168.2,1,0,0.5374554102259216,0.011890606420927468
70,1,2,2,19.45,1303.5,0,1,0.014921365554276946,0.05370157268891446
23,0,0,1,44.95,996.85,0,0,0.045092039925766166,0.02307267893865677
64,1,1,2,97.0,6430.9,0,1,0.015083425337044582,0.009951950737843848
37,1,2,3,62.8,2278.75,0,1,0.027558968732857927,0.01623697202413604
17,1,1,0,44.6,681.4,0,0,0.06545347813325507,0.024948635162899913
7,1,0,1,89.15,574.35,0,0,0.15521894315312962,0.01218769043266301
4,1,0,2,84.8,371.9,1,1,0.22801828448507663,0.010755579456843238
21,0,0,1,41.9,840.1,1,0,0.04987501487918105,0.024997024163790023
10,1,0,2,80.25,846.0,1,1,0.09485815602836879,0.01182033096926714
16,1,0,1,54.1,889.0,0,0,0.06085489313835771,0.01799775028121485
64,1,2,1,105.25,6823.4,0,0,0.01542486150599408,0.00937948823167336
27,0,0,3,30.75,805.1,1,1,0.038194013166066326,0.0335362066823997
42,1,1,1,97.1,4016.75,0,0,0.024173772328374928,0.010456214601356819
5,1,0,0,20.2,83.75,0,0,0.24119402985074626,0.05970149253731343
41,1,2,2,98.8,3959.15,0,1,0.024954851420128057,0.010355758180417514
58,1,1,3,50.3,2878.55,0,1,0.0174740754893957,0.02014903336749405
47,1,2,0,20.55,945.7,0,0,0.02172993549751507,0.049698635931056355
